,addr:postcode,koatuu,lat,lon,name,name:en,name:prefix,name:ru,name:uk,place,population,postal_code
340245,31030,6822788404,49.80205,26.70708,Решнівка,Reshnivka,село,Решнёвка,Решнівка,village,179,
340246,92123,4425485008,49.80171,38.48167,Шахове,Shakhove,село,Шахово,Шахове,village,74,
340247,09025,3224082101,49.801738,29.754787,Дулицьке,Dulytske,село,Дулицкое,Дулицьке,village,760,
340248,80716,4621882805,49.8056298,24.9515713,Луг,Luh,село,Луг,Луг,village,99,
340251,81143,4623687603,49.8015118,24.3404287,Тарасівка,Tarasivka,село,Тарасовка,Тарасівка,village,455,
340254,19015,7122082001,49.80137,31.35738,Грищинці,Hryschyntsi,село,Грищинцы,Грищинці,village,652,
340256,81321,4622487901,49.801324,22.9743605,Шегині,Shehyni,село,Шегини,Шегині,village,1100,
340257,37832,5324887701,49.800609,33.1889796,Штомпелівка,Shtompelivka,село,Штомпелевка,Штомпелівка,village,913,
340258,37830,5324883211,49.80102,33.01769,Мищенки,Myschenky,село,Мищенки,Мищенки,hamlet,34,
340259,47440,6123884403,49.80102,25.95898,Велика Білка,Velyka Bilka,село,Великая Белка,Велика Білка,village,180,
340260,63042,6321287501,49.7999323,35.506979,Сніжків,Snizhkiv,село,Снежков,Сніжків,village,1594,
340261,38042,5325780505,49.80034,34.06071,Науменки,Naumenky,село,Науменки,Науменки,village,83,
340262,30631,6824781303,49.80034,26.24771,Немиринці,Nemyryntsi,село,Немиринцы,Немиринці,village,247,
340263,81334,4622480801,49.799403,23.2676491,Берегове,Berehove,село,Береговое,Берегове,village,703,
340264,63044,6321283002,49.8006268,35.6529915,Данильчин Кут,Danylchyn Kut,село,Данильчин Кут,Данильчин Кут,hamlet,50,
340265,38042,5325780504,49.8086214,34.032612,Мала Бузова,Mala Buzova,село,Малая Бузова,Мала Бузова,village,127,
340266,13613,1825281801,49.79999,29.32697,Верхівня,Verkhivnia,село,Верховня,Верхівня,village,750,
340267,63420,6321786202,49.8082751,36.204715,Аксютівка,Aksiutivka,село,Аксютовка,Аксютівка,village,136,
340268,38630,5322283008,49.79965,34.76108,Назаренки,Nazarenky,село,Назаренки,Назаренки,hamlet,7,
340269,38632,5322281905,49.79965,34.70306,Касяни,Kasiany,село,Касьяны,Касяни,hamlet,5,
340270,37750,5323685902,49.79965,32.82852,Малоселецьке,Maloseletske,село,Малоселецкое,Малоселецьке,village,257,
340271,,7122082702,49.7929461,31.2093242,Бересняги,Beresniahy,село,Бересняги,Бересняги,village,63,19016
340272,13364,1820880201,49.7996533,28.3646372,Андріяшівка,Andriiashivka,село,Андрияшевка,Андріяшівка,village,627,
340273,22110,0521486403,49.79931,28.52223,Поличинці,Polychyntsi,село,Поличинцы,Поличинці,village,442,
340274,13624,1825284202,49.79896,29.16424,Ярославка,Yaroslavka,село,Ярославка,Ярославка,village,269,
340275,80745,4621885208,49.7988538,25.045615,Тростянець,Trostianets,село,Тростянец,Тростянець,village,404,
340276,63213,6324286002,49.7974925,35.8425172,Бахметівка,Bakhmetivka,село,Бахметовка,Бахметівка,village,161,
340277,19731,7121584302,49.7984231,32.0607055,Маркізівка,Markizivka,село,Маркизовка,Маркізівка,village,176,
340278,47221,6122682201,49.79862,25.20813,Гарбузів,Harbuziv,село,Гарбузов,Гарбузів,village,303,
340279,81551,4620980803,49.79862,23.77853,Воля-Бартатівська,Volia-Bartativska,село,Воля-Бартатовская,Воля-Бартатівська,village,96,
340280,63521,6325455301,49.79828,36.44989,Зауддя,Zauddia,село,Заудье,Зауддя,village,115,
340281,38813,5325455305,49.79828,35.07797,Степанівка,Stepanivka,село,Степановка,Степанівка,village,248,
340282,38632,5322281907,49.79828,34.71851,Терещенки,Tereschenky,село,Терещенки,Терещенки,village,62,
340283,22124,0521485206,49.79828,28.76701,Гурівці,Hurivtsi,село,Гуровцы,Гурівці,village,627,
340284,31124,6824286402,49.79828,27.14241,Грибенинка,Hrybenynka,село,Грибенинка,Грибенинка,village,338,
340285,47336,6122489602,49.79828,25.80586,Решнівка,Reshnivka,село,Решневка,Решнівка,village,464,
340286,47233,6122685701,49.8003693,25.471188,Мильне,Mylne,село,Мильно,Мильне,village,898,
340287,47224,6122681303,49.7930661,25.0904855,Корчунок,Korchunok,село,Корчунок,Корчунок,hamlet,47,
340288,62471,6325158800,49.7944534,36.018929,Утківка,Utkivka,селище міського типу,Утковка,Утківка,town,1339,
340289,63215,6324280505,49.7983308,35.7613471,Федорівка,Fedorivka,село,Федоровка,Федорівка,village,397,
340290,63120,6323281205,49.79793,35.39142,Дмитрівка,Dmytrivka,село,Дмитровка,Дмитрівка,village,135,
340291,63120,6323281206,49.79793,35.3492,Кисівка,Kysivka,село,Кисовка,Кисівка,village,100,
340292,19016,7122082703,49.79793,31.24409,Орловець,Orlovets,селище,Орловец,Орловець,village,41,
340293,,1825882803,49.7951811,28.2214392,Польова Слобідка,Polova Slobidka,село,Полевая Слободка,Польова Слобідка,village,72,13256
340294,,1825882805,49.8012018,28.1859291,Степок,Stepok,село,Степок,Степок,village,166,13256
340295,81341,4622482404,49.7979523,23.3893423,Новосільці,Novosiltsi,село,Новосельцы,Новосільці,village,364,
340296,63043,6321282509,49.79759,35.58163,Тупицівка,Tupytsivka,село,Тупицевка,Тупицівка,hamlet,13,
340297,38300-38304,5320255100,49.7852778,33.7213889,Велика Багачка,Velyka Bahachka,селище міського типу,Великая Багачка,Велика Багачка,town,5686,
340298,09025,3224082102,49.79759,29.74892,Безпечна,Bezpechna,село,Беспечная,Безпечна,village,386,
340299,09011,3224084302,49.79759,29.4722,Миньківці,Mynkivtsi,село,Миньковцы,Миньківці,village,581,
340300,13616,1825281602,49.79759,29.38328,Трубіївка,Trubiivka,село,Трубиевка,Трубіївка,village,251,
340301,31146,6824288001,49.7982268,27.5691558,Сербинівка,Serbynivka,село,Сербиновка,Сербинівка,village,777,
340302,31134,6824287705,49.7969062,27.2813967,Немирівка,Nemyrivka,село,Немировка,Немирівка,village,187,
340303,38041,5325780501,49.7830556,34.0183333,Велика Бузова,Velyka Buzova,село,Великая Бузова,Велика Бузова,village,508,
340304,38031,5325786002,49.79725,33.96698,Бухуни,Bukhuny,село,Бухуны,Бухуни,village,313,
340305,37842,5324884201,49.79725,33.41801,Новоаврамівка,Novoavramivka,село,Новоаврамовка,Новоаврамівка,village,1064,
340306,09050,3224080901,49.79725,29.63184,Великі Єрчики,Velyki Yerchyky,село,Великие Ерчики,Великі Єрчики,village,564,
340308,38533,5321080406,49.7969,34.36386,Сохацька Балка,Sokhatska Balka,село,Сохацкая Балка,Сохацька Балка,village,69,
340309,19744,7121582003,49.7969,32.14634,Степове,Stepove,селище,Степовое,Степове,village,33,
340310,80732,4621881501,49.801106,24.6683259,Велика Вільшаниця,Velyka Vilshanytsia,село,Великая Ольшаница,Велика Вільшаниця,village,873,
340311,81144,4623688203,49.7952493,24.1319825,Волиця,Volytsia,село,Волица,Волиця,village,257,
340312,62493,6325181503,49.79656,36.34998,Темнівка,Temnivka,село,Темновка,Темнівка,village,410,
340313,38832,5325484007,49.79656,34.88949,Майорівка,Maiorivka,село,Майоровка,Майорівка,village,109,
340314,22110,0521486406,49.79656,28.47485,Мала Клітинка,Mala Klitynka,село,Малая Клетинка,Мала Клітинка,village,115,
340315,80743,4621887604,49.7972863,24.9878235,Козаки,Kozaky,село,Казаки,Козаки,village,101,
340316,92141,4425488005,49.7963798,38.3760933,Коченове,Kochenove,село,Коченово,Коченове,village,266,
340317,38541,5321084905,49.7844444,34.6055556,Михайлівка,Mykhailivka,село,Михайловка,Михайлівка,village,429,
340318,80745,4621885204,49.796313,25.0717227,Новоселище,Novoselysche,село,Новоселище,Новоселище,village,853,
340319,37830,5324883215,49.7975079,32.9894992,Хоменки,Khomenky,село,Хоменки,Хоменки,village,98,
340320,92311,4423382804,49.7958042,39.08106,Світле,Svitle,село,Светлое,Світле,village,169,
340321,92135,4425484503,49.7985298,38.1886033,Давидівка,Davydivka,село,Давыдовка,Давидівка,hamlet,12,
340322,13623,1825284201,49.79553,29.20166,Крилівка,Krylivka,село,Крыловка,Крилівка,village,494,
340323,22111,0521487501,49.79553,28.44841,Тернівка,Ternivka,село,Терновка,Тернівка,village,434,
340324,31022,6822782504,49.79553,26.81591,Юзіно,Yuzino,село,Юзино,Юзіно,village,,
340325,81144,4623688201,49.7970356,24.1733676,Чишки,Chyshky,село,Чишки,Чишки,village,2426,
340326,63043,6321282507,49.79519,35.57922,Перепелицівка,Perepelytsivka,село,Перепелицевка,Перепелицівка,hamlet,50,
340327,19014,7122081101,49.79519,31.41953,Бобриця,Bobrytsia,село,Бобрица,Бобриця,village,1113,
340328,22125,0521480806,49.79519,28.93524,Велике,Velyke,село,Великое,Велике,village,303,
340329,37740,5323681301,49.8097608,32.6551444,Заріг,Zarih,село,Зарог,Заріг,village,1498,
340330,13256,1825882804,49.79484,28.102,Поштове,Poshtove,селище,Почтовое,Поштове,village,29,
340331,30631,6824781301,49.79484,26.27655,Воронівці,Voronivtsi,село,Вороновцы,Воронівці,village,570,
340332,38300,5320255107,49.7945,33.77437,Мала Решетилівка,Mala Reshetylivka,село,Малая Решетиловка,Мала Решетилівка,village,94,
340333,13267,1825886002,49.7945,27.9245,Суслівка,Suslivka,село,Сусловка,Суслівка,village,225,
340334,13151,1823181501,49.7945,27.8112,Велика Волиця,Velyka Volytsia,село,Великая Волица,Велика Волиця,village,919,
340335,92313,4423388204,49.79416,38.95923,Пелагіївка,Pelahiivka,село,Пелагеевка,Пелагіївка,village,63,
340336,62743,6321886001,49.79416,37.90901,Токарівка,Tokarivka,село,Токаревка,Токарівка,village,501,
340337,63524,6325456800,49.7948023,36.5916691,Есхар,Eskhar,селище міського типу,Эсхар,Есхар,town,5602,
340338,63044,6321283001,49.7917605,35.6692689,Кобзарівка,Kobzarivka,село,Кобзаревка,Кобзарівка,village,271,
340339,38040,5325781605,49.79416,34.11392,Шафранівка,Shafranivka,село,Шафрановка,Шафранівка,village,253,
340340,38043,5325780507,49.7852502,34.0631908,Тищенки,Tyschenky,село,Тищенки,Тищенки,village,470,
340341,37832,5324887713,49.79416,33.20549,Лісянщина,Lisianschyna,село,Лисянщина,Лісянщина,village,167,
340342,31146,6824288003,49.7924921,27.5631791,Левківка,Levkivka,село,Левковка,Левківка,village,801,
340343,31123,6824281302,49.79416,27.01641,Малий Чернятин,Malyi Cherniatyn,село,Малый Чернятин,Малий Чернятин,village,690,
340344,47332,6122481802,49.7926809,25.590166,Хоми,Khomy,село,Хомы,Хоми,village,246,
340345,63410,6321781001,49.79381,36.31462,Борова,Borova,село,Боровая,Борова,village,2419,
340346,37800,5324885407,49.79381,33.33458,Пристань,Prystan,село,Пристань,Пристань,village,154,
340347,80750,4621888503,49.7930636,24.8272092,Залісся,Zalissia,село,Залесье,Залісся,village,293,
340348,30630,6824782501,49.79347,26.30058,Ільківці,Ilkivtsi,село,Ильковцы,Ільківці,village,296,
340349,38633,5322281906,49.7919444,34.6383333,Підварівка,Pidvarivka,село,Подваровка,Підварівка,hamlet,9,
340350,47223,6122687801,49.79362,25.1611979,Перепельники,Perepelnyky,село,Перепельники,Перепельники,village,546,
340351,08800,3222983401,49.7995079,30.9999179,Коритище,Korytysche,село,Корытище,Коритище,village,238,
340352,31023,6822781204,49.79244,26.91307,Ключівка,Kliuchivka,село,Ключовка,Ключівка,village,383,
340354,62740,6321886003,49.7868801,38.0028306,Мечнікове,Mechnikove,село,Мечниково,Мечнікове,village,142,
340355,19742,7121582002,49.7862024,32.1879256,Канівщина,Kanivschyna,селище,Каневщина,Канівщина,village,218,
340356,80724,4621881601,49.7921,24.46415,Великий Полюхів,Velykyi Poliukhiv,село,Великий Полюхов,Великий Полюхів,village,301,
340357,81333,4622481202,49.7932926,23.1637258,Завада,Zavada,село,Завада,Завада,village,545,
340358,81300,4622410100,49.7951405,23.1498418,Мостиська,Mostyska,місто,Мостиска,Мостиська,town,11000,
340359,,3222285201,49.79175,30.73769,Ліщинка,Lischynka,село,Лещинка,Ліщинка,village,324,09260
340360,,0524885202,49.79175,28.25752,Подорожня,Podorozhnia,село,Подорожня,Подорожня,village,319,22024
340361,31133,6824286901,49.79175,27.40299,Решнівка,Reshnivka,село,Решнёвка,Решнівка,village,571,
340362,62733,6321883502,49.79141,37.69958,Лиман Перший,Lyman Pershyi,село,Лиман Первый,Лиман Перший,village,280,
340363,63213,6324286001,49.79107,35.83328,Стара Водолага,Stara Vodolaha,село,Старая Водолага,Стара Водолага,village,515,
340364,63042,6321287503,49.79107,35.43468,Дорофіївка,Dorofiivka,село,Дорофеевка,Дорофіївка,village,52,
340365,63110,6323280601,49.79107,35.25272,Різуненкове,Rizunenkove,село,Резуненково,Різуненкове,village,764,
340366,19745,7121587401,49.79107,32.23423,Лукашівка,Lukashivka,село,Лукашовка,Лукашівка,village,398,
