town,2014,2015,2016,obl,dis,koatuu,np,oblcode,type,oldname
смт Клесів,4613.0,4662.0,4655.0,Рівненська область,Сарненський район,5625455400,Т,56,smt,
смт Степань,4188.0,4182.0,4195.0,Рівненська область,Сарненський район,5625455700,Т,56,smt,
м. Суми,268874.0,268642.0,267633.0,Сумська область,Суми,5910100000,В,59,city,
м. Глухів,34282.0,34020.0,33794.0,Сумська область,Глухів,5910300000,М,59,town,
м. Конотоп,88477.0,88252.0,87881.0,Сумська область,Конотоп,5910400000,М,59,town,
м. Лебедин,25816.0,25721.0,25617.0,Сумська область,Лебедин,5910500000,М,59,town,
м. Охтирка,48881.0,48817.0,48645.0,Сумська область,Охтирка,5910200000,М,59,town,
м. Ромни,41951.0,41364.0,40681.0,Сумська область,Ромни,5910700000,М,59,town,
м. Шостка,78505.0,77847.0,77134.0,Сумська область,Шостка,5911000000,М,59,town,
м. Білопілля,16659.0,16598.0,16466.0,Сумська область,Білопільський район,5920610100,М,59,town,
м. Ворожба,7363.0,7262.0,7198.0,Сумська область,Білопільський район,5920610300,М,59,town,
смт Миколаївка,4302.0,4260.0,4234.0,Сумська область,Білопільський район,5920655300,Т,59,smt,ЖОВТНЕВЕ
смт Улянівка,2452.0,2411.0,2385.0,Сумська область,Білопільський район,5920655700,Т,59,smt,
м. Буринь,9031.0,8920.0,8836.0,Сумська область,Буринський район,5920910100,М,59,town,
смт Велика Писарівка,4488.0,4423.0,4437.0,Сумська область,Великописарівський район,5921255100,Т,59,smt,
смт Кириківка,2928.0,2907.0,2891.0,Сумська область,Великописарівський район,5921255400,Т,59,smt,
смт Есмань,1481.0,1466.0,1435.0,Сумська область,Глухівський район,5921555500,Т,59,smt,ЧЕРВОНЕ
смт Шалигине,2451.0,2425.0,2363.0,Сумська область,Глухівський район,5921555800,Т,59,smt,
смт Дубов’язівка,2595.0,2576.0,2545.0,Сумська область,Конотопський район,5922055300,Т,59,smt,
смт Краснопілля,8341.0,8338.0,8259.0,Сумська область,Краснопільський район,5922355100,Т,59,smt,
смт Угроїди,2112.0,2093.0,2055.0,Сумська область,Краснопільський район,5922355600,Т,59,smt,
м. Кролевець,23507.0,23404.0,23313.0,Сумська область,Кролевецький район,5922610100,М,59,town,
смт Липова Долина,5252.0,5232.0,5185.0,Сумська область,Липоводолинський район,5923255100,Т,59,smt,
смт Недригайлів,5646.0,5636.0,5596.0,Сумська область,Недригайлівський район,5923555100,Т,59,smt,
смт Терни,3119.0,3088.0,3067.0,Сумська область,Недригайлівський район,5923555600,Т,59,smt,
смт Чупахівка,2441.0,2413.0,2385.0,Сумська область,Охтирський район,5920355500,Т,59,smt,
м. Путивль,16175.0,16009.0,15856.0,Сумська область,Путивльський район,5923810100,М,59,town,
м. Середина-Буда,7169.0,7144.0,7160.0,Сумська область,Середино-Будський район,5924410100,М,59,town,
смт Зноб-Новгородське,1935.0,1909.0,1900.0,Сумська область,Середино-Будський район,5924455300,Т,59,smt,
смт Низи,2874.0,2877.0,2849.0,Сумська область,Сумський район,5924755500,Т,59,smt,
смт Степанівка,5561.0,5541.0,5543.0,Сумська область,Сумський район,5924755800,Т,59,smt,
смт Хотінь,2476.0,2450.0,2445.0,Сумська область,Сумський район,5924756200,Т,59,smt,
м. Тростянець,21220.0,21003.0,20708.0,Сумська область,Тростянецький район,5925010100,М,59,town,
смт Вороніж,7151.0,7070.0,7028.0,Сумська область,Шосткинський район,5925355300,Т,59,smt,
м. Дружба,4997.0,4919.0,4863.0,Сумська область,Ямпільський район,5925610300,М,59,town,
смт Ямпіль,4641.0,4598.0,4554.0,Сумська область,Ямпільський район,5925655100,Т,59,smt,
смт Свеса,6838.0,6755.0,6665.0,Сумська область,Ямпільський район,5925655700,Т,59,smt,
м. Тернопіль,217110.0,217773.0,218228.0,Тернопільська область,Тернопіль,6110100000,М,61,town,
м. Бережани,18264.0,18318.0,18244.0,Тернопільська область,Бережани,6110500000,М,61,town,
м. Кременець,21624.0,21620.0,21524.0,Тернопільська область,Кременець,6110700000,М,61,town,
м. Чортків,29662.0,29702.0,29345.0,Тернопільська область,Чортків,6110300000,М,61,town,
м. Борщів,11202.0,11167.0,11135.0,Тернопільська область,Борщівський район,6120810100,М,61,town,
смт Мельниця-Подільська,3722.0,3702.0,3712.0,Тернопільська область,Борщівський район,6120855400,Т,61,smt,
смт Скала-Подільська,4251.0,4258.0,4273.0,Тернопільська область,Борщівський район,6120855700,Т,61,smt,
м. Бучач,12631.0,12667.0,12597.0,Тернопільська область,Бучацький район,6121210100,М,61,town,
смт Золотий Потік,2457.0,2424.0,2405.0,Тернопільська область,Бучацький район,6121255500,Т,61,smt,
м. Копичинці,6869.0,6841.0,6796.0,Тернопільська область,Гусятинський район,6121610400,М,61,town,
м. Хоростків,7034.0,6990.0,6933.0,Тернопільська область,Гусятинський район,6121611000,М,61,town,
смт Гусятин,7178.0,7201.0,7165.0,Тернопільська область,Гусятинський район,6121655100,Т,61,smt,
смт Гримайлів,1933.0,1912.0,1885.0,Тернопільська область,Гусятинський район,6121655400,Т,61,smt,
м. Заліщики,9379.0,9384.0,9331.0,Тернопільська область,Заліщицький район,6122010100,М,61,town,
смт Товсте,3353.0,3344.0,3336.0,Тернопільська область,Заліщицький район,6122055500,Т,61,smt,
м. Збараж,14054.0,14073.0,14052.0,Тернопільська область,Збаразький район,6122410100,М,61,town,
смт Вишнівець,3377.0,3349.0,3334.0,Тернопільська область,Збаразький район,6122455300,Т,61,smt,
м. Зборів,6816.0,6773.0,6698.0,Тернопільська область,Зборівський район,6122610100,М,61,town,
смт Залізці,2710.0,2694.0,2669.0,Тернопільська область,Зборівський район,6122655300,Т,61,smt,
смт Козова,9291.0,9272.0,9244.0,Тернопільська область,Козівський район,6123055100,Т,61,smt,
смт Козлів,1821.0,1820.0,1813.0,Тернопільська область,Козівський район,6123055400,Т,61,smt,
м. Почаїв,7834.0,7812.0,7826.0,Тернопільська область,Кременецький район,6123410500,М,61,town,
м. Ланівці,8746.0,8778.0,8767.0,Тернопільська область,Лановецький район,6123810100,М,61,town,
м. Монастириська,6065.0,6020.0,5970.0,Тернопільська область,Монастириський район,6124210100,М,61,town,
смт Коропець,3429.0,3396.0,3366.0,Тернопільська область,Монастириський район,6124255500,Т,61,smt,
м. Скалат,4020.0,4025.0,4019.0,Тернопільська область,Підволочиський район,6124610500,М,61,town,
смт Підволочиськ,8063.0,8056.0,8025.0,Тернопільська область,Підволочиський район,6124655100,Т,61,smt,
м. Підгайці,2830.0,2806.0,2795.0,Тернопільська область,Підгаєцький район,6124810100,М,61,town,
м. Теребовля,13709.0,13678.0,13657.0,Тернопільська область,Теребовлянський район,6125010100,М,61,town,
смт Дружба,1861.0,1891.0,1902.0,Тернопільська область,Теребовлянський район,6125055300,Т,61,smt,
смт Микулинці,3717.0,3713.0,3703.0,Тернопільська область,Теребовлянський район,6125055400,Т,61,smt,
смт Велика Березовиця,7787.0,7972.0,8153.0,Тернопільська область,Тернопільський район,6125255200,Т,61,smt,
смт Великі Бірки,3444.0,3440.0,3425.0,Тернопільська область,Тернопільський район,6125255400,Т,61,smt,
смт Заводське,3442.0,3461.0,3433.0,Тернопільська область,Чортківський район,6125555700,Т,61,smt,
м. Шумськ,5460.0,5465.0,5476.0,Тернопільська область,Шумський район,6125810100,М,61,town,
м. Харків,1451132.0,1452887.0,1449732.0,Харківська область,Харків,6310100000,В,63,city,
м. Ізюм,51175.0,50591.0,49727.0,Харківська область,Ізюм,6310400000,М,63,town,
м. Куп’янськ,29247.0,29057.0,28755.0,Харківська область,Куп’янськ,6310700000,М,63,town,
смт Ківшарівка,19345.0,19264.0,19119.0,Харківська область,Куп’янськ,6310745400,Т,63,smt,
смт Куп’янськ-Вузловий,8895.0,8821.0,8741.0,Харківська область,Куп’янськ,6310745700,Т,63,smt,
м. Лозова,57916.0,57407.0,56941.0,Харківська область,Лозова,6311000000,М,63,town,
смт Панютине,7358.0,7338.0,7254.0,Харківська область,Лозова,6311045400,Т,63,smt,
м. Люботин,21853.0,21714.0,21631.0,Харківська область,Люботин,6311200000,М,63,town,
м. Первомайський,30984.0,30821.0,30591.0,Харківська область,Первомайський,6311500000,М,63,town,
м. Чугуїв,32379.0,32442.0,32416.0,Харківська область,Чугуїв,6312000000,М,63,town,
м. Балаклія,29395.0,29307.0,29091.0,Харківська область,Балаклійський район,6320210100,М,63,town,
смт Андріївка,8918.0,8847.0,8843.0,Харківська область,Балаклійський район,6320255300,Т,63,smt,
смт Савинці,5141.0,5120.0,5069.0,Харківська область,Балаклійський район,6320255700,Т,63,smt,
смт Донець,8927.0,8884.0,8844.0,Харківська область,Балаклійський район,6320256000,Т,63,smt,ЧЕРВОНИЙ ДОНЕЦЬ
м. Барвінкове,9465.0,9290.0,9013.0,Харківська область,Барвінківський район,6320410100,М,63,town,
смт Близнюки,3856.0,3844.0,3786.0,Харківська область,Близнюківський район,6320655100,Т,63,smt,
м. Богодухів,15720.0,15658.0,15567.0,Харківська область,Богодухівський район,6320810100,М,63,town,
смт Гути,1768.0,1755.0,1739.0,Харківська область,Богодухівський район,6320855300,Т,63,smt,
смт Шарівка,1712.0,1699.0,1674.0,Харківська область,Богодухівський район,6320855700,Т,63,smt,
смт Борова,5722.0,5685.0,5616.0,Харківська область,Борівський район,6321055100,Т,63,smt,
м. Валки,9355.0,9322.0,9235.0,Харківська область,Валківський район,6321210100,М,63,town,
смт Ков’яги,3121.0,3117.0,3113.0,Харківська область,Валківський район,6321255400,Т,63,smt,
смт Старий Мерчик,1779.0,1816.0,1830.0,Харківська область,Валківський район,6321256000,Т,63,smt,
смт Великий Бурлук,4019.0,3998.0,3979.0,Харківська область,Великобурлуцький район,6321455100,Т,63,smt,
смт Приколотне,2089.0,2079.0,2072.0,Харківська область,Великобурлуцький район,6321455600,Т,63,smt,
м. Вовчанськ,19029.0,18906.0,18784.0,Харківська область,Вовчанський район,6321610100,М,63,town,
смт Білий Колодязь,3950.0,3959.0,3953.0,Харківська область,Вовчанський район,6321655300,Т,63,smt,
смт Вільча,1765.0,1781.0,1803.0,Харківська область,Вовчанський район,6321655500,Т,63,smt,
смт Старий Салтів,3615.0,3580.0,3559.0,Харківська область,Вовчанський район,6321655800,Т,63,smt,
смт Дворічна,3794.0,3733.0,3656.0,Харківська область,Дворічанський район,6321855100,Т,63,smt,
м. Дергачі,18210.0,18223.0,18202.0,Харківська область,Дергачівський район,6322010100,М,63,town,
смт Вільшани,7006.0,6964.0,5275.0,Харківська область,Дергачівський район,6322056200,Т,63,smt,
смт Козача Лопань,5305.0,5270.0,8267.0,Харківська область,Дергачівський район,6322055600,Т,63,smt,
смт Мала Данилівка,8223.0,8275.0,6947.0,Харківська область,Дергачівський район,6322055900,Т,63,smt,
смт Пересічне,7111.0,7123.0,7110.0,Харківська область,Дергачівський район,6322056500,Т,63,smt,
смт Прудянка,1826.0,1827.0,1931.0,Харківська область,Дергачівський район,6322057000,Т,63,smt,
смт Слатине,6517.0,6494.0,6483.0,Харківська область,Дергачівський район,6322057300,Т,63,smt,
смт Солоницівка,13804.0,13751.0,13733.0,Харківська область,Дергачівський район,6322057600,Т,63,smt,
смт Зачепилівка,3677.0,3651.0,3645.0,Харківська область,Зачепилівський район,6322255100,Т,63,smt,
м. Зміїв,15160.0,15049.0,14946.0,Харківська область,Зміївський район,6321710100,М,63,town,
смт Зідьки,3857.0,3903.0,3903.0,Харківська область,Зміївський район,6321755300,Т,63,smt,
смт Слобожанське,14681.0,14598.0,14461.0,Харківська область,Зміївський район,6321755600,Т,63,smt,КОМСОМОЛЬСЬКЕ
смт Золочів,8977.0,9034.0,8886.0,Харківська область,Золочівський район,6322655100,Т,63,smt,
смт Кегичівка,6186.0,6165.0,6090.0,Харківська область,Кегичівський район,6323155100,Т,63,smt,
смт Слобожанське,2745.0,2730.0,2699.0,Харківська область,Кегичівський район,6323155600,Т,63,smt,ЧАПАЄВЕ
смт Коломак,3004.0,2962.0,2906.0,Харківська область,Коломацький район,6323255100,Т,63,smt,
м. Красноград,21231.0,21143.0,20996.0,Харківська область,Красноградський район,6323310100,М,63,town,
смт Краснокутськ,7695.0,7642.0,7583.0,Харківська область,Краснокутський район,6323555100,Т,63,smt,
смт Костянтинівка,1319.0,1293.0,1291.0,Харківська область,Краснокутський район,6323555400,Т,63,smt,
смт Краснопавлівка,7260.0,7193.0,7083.0,Харківська область,Лозівський район,6323955400,Т,63,smt,
смт Орілька,3288.0,3260.0,3200.0,Харківська область,Лозівський район,6323955700,Т,63,smt,
смт Нова Водолага,11583.0,11447.0,11295.0,Харківська область,Нововодолазький район,6324255100,Т,63,smt,
смт Бірки,549.0,557.0,544.0,Харківська область,Нововодолазький район,6324255300,Т,63,smt,
смт Печеніги,5454.0,5406.0,5324.0,Харківська область,Печенізький район,6324655100,Т,63,smt,
смт Сахновщина,7521.0,7443.0,7312.0,Харківська область,Сахновщинський район,6324855100,Т,63,smt,
м. Мерефа,22383.0,22336.0,22314.0,Харківська область,Харківський район,6325110700,М,63,town,
м. Південне,7856.0,7788.0,7786.0,Харківська область,Харківський район,6325111000,М,63,town,
смт Бабаї,6915.0,6884.0,6866.0,Харківська область,Харківський район,6325155300,Т,63,smt,
смт Безлюдівка,9699.0,9700.0,9661.0,Харківська область,Харківський район,6325155600,Т,63,smt,
смт Березівка,1639.0,1647.0,1641.0,Харківська область,Харківський район,6325155800,Т,63,smt,
смт Буди,6262.0,6216.0,6154.0,Харківська область,Харківський район,6325156100,Т,63,smt,
смт Васищеве,5995.0,5979.0,5956.0,Харківська область,Харківський район,6325156400,Т,63,smt,
смт Високий,10552.0,10535.0,10448.0,Харківська область,Харківський район,6325156700,Т,63,smt,
смт Коротич,5170.0,5174.0,5165.0,Харківська область,Харківський район,6325157000,Т,63,smt,
смт Кулиничі,3055.0,3030.0,3022.0,Харківська область,Харківський район,6325157300,Т,63,smt,
смт Манченки,782.0,751.0,728.0,Харківська область,Харківський район,6325157600,Т,63,smt,
смт Пісочин,22972.0,23116.0,23269.0,Харківська область,Харківський район,6325157900,Т,63,smt,
смт Покотилівка,9835.0,9805.0,9766.0,Харківська область,Харківський район,6325158200,Т,63,smt,
смт Рогань,3699.0,3651.0,3618.0,Харківська область,Харківський район,6325158500,Т,63,smt,
смт Утківка,1228.0,1230.0,1239.0,Харківська область,Харківський район,6325158800,Т,63,smt,
смт Хорошеве,4300.0,4268.0,4266.0,Харківська область,Харківський район,6325159100,Т,63,smt,
смт Введенка,2456.0,2442.0,2429.0,Харківська область,Чугуївський район,6325455300,Т,63,smt,
смт Есхар,5519.0,5495.0,5469.0,Харківська область,Чугуївський район,6325456800,Т,63,smt,
смт Кочеток,3115.0,3124.0,3098.0,Харківська область,Чугуївський район,6325455600,Т,63,smt,
смт Малинівка,7584.0,7552.0,7601.0,Харківська область,Чугуївський район,6325455900,Т,63,smt,
смт Новопокровка,4829.0,4856.0,4870.0,Харківська область,Чугуївський район,6325456200,Т,63,smt,
смт Чкаловське,3953.0,3926.0,3901.0,Харківська область,Чугуївський район,6325456700,Т,63,smt,
смт Шевченкове,7063.0,7032.0,6959.0,Харківська область,Шевченківський район,6325755100,Т,63,smt,
м. Херсон,297593.0,296448.0,294941.0,Херсонська область,Херсон,6510100000,В,65,city,
смт Антонівка,12807.0,12881.0,12921.0,Херсонська область,Херсон,6510165300,Т,65,smt,
смт Зеленівка,5796.0,5846.0,5844.0,Херсонська область,Херсон,6510165600,Т,65,smt,
смт Комишани,7071.0,7054.0,7055.0,Херсонська область,Херсон,6510166400,Т,65,smt,
смт Наддніпрянське,1149.0,1129.0,1123.0,Херсонська область,Херсон,6510165800,Т,65,smt,
м. Гола Пристань,14785.0,14652.0,14658.0,Херсонська область,Гола Пристань,6510300000,М,65,town,
м. Каховка,37316.0,37103.0,36944.0,Херсонська область,Каховка,6510400000,М,65,town,
м. Нова Каховка,47638.0,47286.0,46906.0,Херсонська область,Нова Каховка,6510700000,М,65,town,
м. Таврійськ,10941.0,10904.0,10850.0,Херсонська область,Нова Каховка,6510770800,М,65,town,
смт Дніпряни,4322.0,4307.0,4282.0,Херсонська область,Нова Каховка,6510745300,Т,65,smt,
м. Берислав,13044.0,12966.0,12828.0,Херсонська область,Бериславський район,6520610100,М,65,town,
смт Козацьке,3791.0,3806.0,3824.0,Херсонська область,Бериславський район,6520655400,Т,65,smt,
смт Білозерка,9738.0,9763.0,9719.0,Херсонська область,Білозерський район,6520355100,Т,65,smt,
смт Велика Лепетиха,8444.0,8378.0,8315.0,Херсонська область,Великолепетиський район,6521255100,Т,65,smt,
смт Велика Олександрівка,6941.0,6918.0,6891.0,Херсонська область,Великоолександрівський район,6520955100,Т,65,smt,
смт Біла Криниця,1290.0,1269.0,1262.0,Херсонська область,Великоолександрівський район,6520955400,Т,65,smt,
смт Калинівське,1232.0,1204.0,1189.0,Херсонська область,Великоолександрівський район,6520955700,Т,65,smt,КАЛІНІНСЬКЕ
смт Кар’єрне,382.0,385.0,388.0,Херсонська область,Великоолександрівський район,6520956000,Т,65,smt,
смт Верхній Рогачик,5794.0,5763.0,5671.0,Херсонська область,Верхньорогачицький район,6521555100,Т,65,smt,
смт Високопілля,4279.0,4274.0,4257.0,Херсонська область,Високопільський район,6521855100,Т,65,smt,
смт Архангельське,1890.0,1886.0,1891.0,Херсонська область,Високопільський район,6521855200,Т,65,smt,
м. Генічеськ,20132.0,20049.0,19983.0,Херсонська область,Генічеський район,6522110100,М,65,town,
смт Новоолексіївка,10221.0,10192.0,10186.0,Херсонська область,Генічеський район,6522155400,Т,65,smt,
смт Рикове,3567.0,3552.0,3528.0,Херсонська область,Генічеський район,6522155700,Т,65,smt,ПАРТИЗАНИ
смт Горностаївка,6682.0,6686.0,6686.0,Херсонська область,Горностаївський район,6522655100,Т,65,smt,
смт Іванівка,4630.0,4564.0,4544.0,Херсонська область,Іванівський район,6522955100,Т,65,smt,
смт Каланчак,9337.0,9319.0,9274.0,Херсонська область,Каланчацький район,6523255100,Т,65,smt,
смт Мирне,1927.0,1909.0,1883.0,Херсонська область,Каланчацький район,6523255400,Т,65,smt,
смт Любимівка,5639.0,5678.0,5686.0,Херсонська область,Каховський район,6523555100,Т,65,smt,
смт Нижні Сірогози,4982.0,4921.0,4882.0,Херсонська область,Нижньосірогозький район,6523855100,Т,65,smt,
смт Нововоронцовка,6409.0,6406.0,6362.0,Херсонська область,Нововоронцовський район,6524155100,Т,65,smt,
смт Новотроїцьке,10652.0,10597.0,10595.0,Херсонська область,Новотроїцький район,6524455100,Т,65,smt,
смт Сиваське,4490.0,4412.0,4357.0,Херсонська область,Новотроїцький район,6524455500,Т,65,smt,
м. Скадовськ,18824.0,18719.0,18637.0,Херсонська область,Скадовський район,6524710100,М,65,town,
смт Лазурне,3191.0,3176.0,3167.0,Херсонська область,Скадовський район,6524755500,Т,65,smt,
м. Олешки,25086.0,25098.0,24978.0,Херсонська область,Олешківський район,6525010100,М,65,town,ЦЮРУПИНСЬК
смт Брилівка,4368.0,4352.0,4343.0,Херсонська область,Олешківський район,6525055300,Т,65,smt,
смт Нова Маячка,7054.0,7015.0,6991.0,Херсонська область,Олешківський район,6525055700,Т,65,smt,
смт Чаплинка,9870.0,9792.0,9768.0,Херсонська область,Чаплинський район,6525455100,Т,65,smt,
смт Асканія-Нова,2918.0,2881.0,2865.0,Херсонська область,Чаплинський район,6525455300,Т,65,smt,
м. Хмельницький,266095.0,267735.0,269113.0,Хмельницька область,Хмельницький,6810100000,М,68,town,
м. Кам’янець-Подільський,102254.0,101728.0,101235.0,Хмельницька область,Кам’янець-Подільський,6810400000,М,68,town,
м. Нетішин,36844.0,36969.0,37014.0,Хмельницька область,Нетішин,6810500000,М,68,town,
м. Славута,35892.0,36029.0,36054.0,Хмельницька область,Славута,6810600000,М,68,town,
м. Старокостянтинів,35104.0,35255.0,35288.0,Хмельницька область,Старокостянтинів,6810800000,М,68,town,
м. Шепетівка,43255.0,43090.0,42858.0,Хмельницька область,Шепетівка,6810700000,М,68,town,
смт Білогір’я,5424.0,5406.0,5397.0,Хмельницька область,Білогірський район,6820355100,Т,68,smt,
смт Ямпіль,1989.0,1994.0,1977.0,Хмельницька область,Білогірський район,6820355600,Т,68,smt,
смт Віньківці,6392.0,6374.0,6330.0,Хмельницька область,Віньковецький район,6820655100,Т,68,smt,
м. Волочиськ,19574.0,19516.0,19359.0,Хмельницька область,Волочиський район,6820910100,М,68,town,
смт Війтівці,870.0,865.0,869.0,Хмельницька область,Волочиський район,6820955300,Т,68,smt,
смт Наркевичі,1555.0,1555.0,1552.0,Хмельницька область,Волочиський район,6820955700,Т,68,smt,
м. Городок,16741.0,16646.0,16516.0,Хмельницька область,Городоцький район,6821210100,М,68,town,
смт Сатанів,2425.0,2416.0,2424.0,Хмельницька область,Городоцький район,6821255500,Т,68,smt,
м. Деражня,10302.0,10346.0,10352.0,Хмельницька область,Деражнянський район,6821510100,М,68,town,
смт Вовковинці,2535.0,2529.0,2487.0,Хмельницька область,Деражнянський район,6821555400,Т,68,smt,
смт Лозове,1592.0,1585.0,1569.0,Хмельницька область,Деражнянський район,6821555700,Т,68,smt,
м. Дунаївці,16232.0,16286.0,16298.0,Хмельницька область,Дунаєвецький район,6821810100,М,68,town,
смт Дунаївці,2527.0,2514.0,2507.0,Хмельницька область,Дунаєвецький район,6821855300,Т,68,smt,
смт Смотрич,1902.0,1900.0,1892.0,Хмельницька область,Дунаєвецький район,6821855700,Т,68,smt,
м. Ізяслав,17212.0,17117.0,17002.0,Хмельницька область,Ізяславський район,6822110100,М,68,town,
смт Стара Ушиця,2264.0,2253.0,2230.0,Хмельницька область,Кам’янець-Подільський район,6822455800,Т,68,smt,
м. Красилів,19679.0,19618.0,19397.0,Хмельницька область,Красилівський район,6822710100,М,68,town,
смт Антоніни,2352.0,2345.0,2303.0,Хмельницька область,Красилівський район,6822755200,Т,68,smt,
смт Летичів,10570.0,10571.0,10547.0,Хмельницька область,Летичівський район,6823055100,Т,68,smt,
смт Меджибіж,1471.0,1456.0,1443.0,Хмельницька область,Летичівський район,6823055400,Т,68,smt,
смт Нова Ушиця,4318.0,4281.0,4255.0,Хмельницька область,Новоушицький район,6823355100,Т,68,smt,
м. Полонне,21651.0,21598.0,21488.0,Хмельницька область,Полонський район,6823610100,М,68,town,
смт Понінка,7410.0,7356.0,7337.0,Хмельницька область,Полонський район,6823655400,Т,68,smt,
смт Стара Синява,5581.0,5553.0,5501.0,Хмельницька область,Старосинявський район,6824455100,Т,68,smt,
смт Теофіполь,6742.0,6773.0,6747.0,Хмельницька область,Теофіпольський район,6824755100,Т,68,smt,
смт Базалія,1688.0,1669.0,1655.0,Хмельницька область,Теофіпольський район,6824755300,Т,68,smt,
смт Чорний Острів,964.0,983.0,984.0,Хмельницька область,Хмельницький район,6825055500,Т,68,smt,
смт Чемерівці,5314.0,5318.0,5297.0,Хмельницька область,Чемеровецький район,6825255100,Т,68,smt,
смт Закупне,1373.0,1372.0,1374.0,Хмельницька область,Чемеровецький район,6825255400,Т,68,smt,
смт Гриців,3607.0,3551.0,3536.0,Хмельницька область,Шепетівський район,6825555300,Т,68,smt,
смт Ярмолинці,7773.0,7750.0,7648.0,Хмельницька область,Ярмолинецький район,6825855100,Т,68,smt,
м. Черкаси,285170.0,284766.0,283356.0,Черкаська область,Черкаси,7110100000,В,71,city,
м. Ватутіне,17278.0,17044.0,16888.0,Черкаська область,Ватутіне,7110200000,М,71,town,
м. Золотоноша,28321.0,28286.0,28345.0,Черкаська область,Золотоноша,7110400000,М,71,town,
м. Канів,25354.0,25293.0,25032.0,Черкаська область,Канів,7110300000,М,71,town,
м. Сміла,68740.0,68618.0,68536.0,Черкаська область,Сміла,7110500000,М,71,town,
м. Умань,86621.0,86451.0,85957.0,Черкаська область,Умань,7110800000,М,71,town,
м. Городище,14249.0,14200.0,14142.0,Черкаська область,Городищенський район,7120310100,М,71,town,
смт Вільшана,3167.0,3136.0,3106.0,Черкаська область,Городищенський район,7120355400,Т,71,smt,
смт Цвіткове,1265.0,1259.0,1242.0,Черкаська область,Городищенський район,7120355700,Т,71,smt,
смт Драбів,6643.0,6602.0,6585.0,Черкаська область,Драбівський район,7120655100,Т,71,smt,
смт Шрамківка,2811.0,2792.0,2742.0,Черкаська область,Драбівський район,7120655700,Т,71,smt,
м. Жашків,14146.0,14104.0,14058.0,Черкаська область,Жашківський район,7120910100,М,71,town,
м. Звенигородка,17771.0,17592.0,17409.0,Черкаська область,Звенигородський район,7121210100,М,71,town,
м. Кам’янка,12427.0,12227.0,11987.0,Черкаська область,Кам’янський район,7121810100,М,71,town,
смт Катеринопіль,5708.0,5802.0,5730.0,Черкаська область,Катеринопільський район,7122255100,Т,71,smt,
смт Єрки,3967.0,3984.0,3976.0,Черкаська область,Катеринопільський район,7122255400,Т,71,smt,
м. Корсунь-Шевченківський,18656.0,18540.0,18401.0,Черкаська область,Корсунь-Шевченківський район,7122510100,М,71,town,
смт Стеблів,3604.0,3560.0,3517.0,Черкаська область,Корсунь-Шевченківський район,7122555500,Т,71,smt,
смт Лисянка,8068.0,8047.0,7936.0,Черкаська область,Лисянський район,7122855100,Т,71,smt,
смт Маньківка,7828.0,7789.0,7801.0,Черкаська область,Маньківський район,7123155100,Т,71,smt,
смт Буки,1888.0,1851.0,1811.0,Черкаська область,Маньківський район,7123155300,Т,71,smt,
м. Монастирище,8970.0,8946.0,8925.0,Черкаська область,Монастирищенський район,7123410100,М,71,town,
смт Цибулів,3679.0,3631.0,3617.0,Черкаська область,Монастирищенський район,7123455500,Т,71,smt,
м. Тальне,14160.0,14110.0,13976.0,Черкаська область,Тальнівський район,7124010100,М,71,town,
смт Бабанка,2299.0,2278.0,2245.0,Черкаська область,Уманський район,7124355300,Т,71,smt,
м. Христинівка,10853.0,10806.0,10762.0,Черкаська область,Христинівський район,7124610100,М,71,town,
смт Верхнячка,3802.0,3764.0,3753.0,Черкаська область,Христинівський район,7124655300,Т,71,smt,
смт Ірдинь,846.0,820.0,817.0,Черкаська область,Черкаський район,7124955300,Т,71,smt,
м. Чигирин,9258.0,9100.0,8962.0,Черкаська область,Чигиринський район,7125410100,М,71,town,
смт Чорнобай,7355.0,7326.0,7321.0,Черкаська область,Чорнобаївський район,7125155100,Т,71,smt,
м. Шпола,17549.0,17385.0,17270.0,Черкаська область,Шполянський район,7125710100,М,71,town,
м. Чернівці,262129.0,264333.0,266366.0,Чернівецька область,Чернівці,7310100000,В,73,city,
м. Новодністровськ,10729.0,10918.0,10920.0,Чернівецька область,Новодністровськ,7310600000,М,73,town,
м. Вижниця,4157.0,4133.0,4068.0,Чернівецька область,Вижницький район,7320510100,М,73,town,
м. Вашківці,5405.0,5407.0,5430.0,Чернівецька область,Вижницький район,7320510400,М,73,town,
смт Берегомет,7737.0,7762.0,7717.0,Чернівецька область,Вижницький район,7320555300,Т,73,smt,
м. Герца,2113.0,2112.0,2119.0,Чернівецька область,Герцаївський район,7320710100,М,73,town,
смт Глибока,9435.0,9433.0,9474.0,Чернівецька область,Глибоцький район,7321055100,Т,73,smt,
м. Заставна,7985.0,7943.0,7898.0,Чернівецька область,Заставнівський район,7321510100,М,73,town,
смт Кострижівка,2733.0,2716.0,2701.0,Чернівецька область,Заставнівський район,7321555400,Т,73,smt,
смт Кельменці,7413.0,7389.0,7346.0,Чернівецька область,Кельменецький район,7322055100,Т,73,smt,
м. Кіцмань,6603.0,6433.0,6340.0,Чернівецька область,Кіцманський район,7322510100,М,73,town,
смт Лужани,4798.0,4858.0,4894.0,Чернівецька область,Кіцманський район,7322555400,Т,73,smt,
смт Неполоківці,2483.0,2495.0,2486.0,Чернівецька область,Кіцманський район,7322555700,Т,73,smt,
